                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.75271,                 1.2731,                0.58655,                 1.0081,                0.89725,                 0.8802,                0.92941,                0.74132,                0.89389,                  0.874,                0.92035,                0.69668,                0.79682,                 1.2992,                0.59443,                 1.0565,              0.0071785,              0.0071785,              0.0071785
                     60,                 0.7543,                 1.2791,                 0.5728,                  1.006,                0.90879,                0.86843,                0.92522,                0.73615,                0.90386,                 0.8587,                0.91075,                0.69285,                0.80074,                  1.314,                0.59505,                 1.0598,               0.007129,               0.007129,               0.007129
                     61,                0.73904,                 1.2685,                  0.578,                0.99968,                0.89828,                0.87485,                0.93088,                0.74176,                0.89107,                0.86852,                0.91726,                0.68434,                0.79615,                 1.3119,                0.58682,                 1.0603,              0.0070795,              0.0070795,              0.0070795
                     62,                0.73563,                 1.2591,                 0.5606,                0.99684,                0.89636,                 0.8834,                  0.927,                0.73264,                0.89462,                0.87207,                0.91501,                0.67835,                0.81289,                 1.3304,                0.58929,                 1.0651,                0.00703,                0.00703,                0.00703
                     63,                0.75834,                 1.3434,                0.58695,                 1.0146,                 0.8753,                0.86231,                0.91027,                0.71974,                0.88041,                0.84494,                0.89902,                0.66326,                0.83373,                  1.351,                0.63971,                 1.0789,              0.0069805,              0.0069805,              0.0069805
                     64,                0.72622,                  1.253,                0.55497,                 1.0005,                0.88529,                 0.8755,                0.92261,                0.73129,                0.88197,                 0.8707,                0.91012,                0.68109,                0.81459,                 1.3157,                0.59436,                  1.062,               0.006931,               0.006931,               0.006931
                     65,                 0.7429,                 1.2983,                0.57885,                 1.0056,                0.90119,                0.87698,                0.92363,                0.73856,                0.88502,                0.87605,                0.91032,                0.69516,                0.79409,                 1.2771,                0.57184,                 1.0526,              0.0068815,              0.0068815,              0.0068815
                     66,                0.72303,                 1.2573,                0.57009,                 1.0028,                0.88073,                0.85021,                0.91361,                0.72358,                  0.878,                0.83565,                0.90509,                 0.6685,                0.79099,                 1.2973,                0.63275,                 1.0654,               0.006832,               0.006832,               0.006832
                     67,                0.74103,                   1.26,                0.57195,                 1.0076,                 0.8889,                0.88504,                0.92352,                 0.7347,                0.87483,                0.88288,                0.91156,                0.67997,                0.81439,                 1.3148,                0.59323,                 1.0694,              0.0067825,              0.0067825,              0.0067825
                     68,                0.73385,                 1.2646,                0.55941,                 1.0036,                0.88673,                 0.8468,                0.90423,                0.71275,                0.88061,                0.83901,                0.89452,                0.65865,                0.81493,                 1.3299,                0.64052,                 1.0779,               0.006733,               0.006733,               0.006733
                     69,                0.71729,                 1.2062,                0.55213,                0.99067,                0.91595,                0.87366,                0.92966,                0.74203,                 0.8961,                0.86895,                0.91405,                0.67368,                0.79469,                 1.3034,                0.58253,                 1.0547,              0.0066835,              0.0066835,              0.0066835
                     70,                0.73867,                 1.2813,                0.56766,                 1.0078,                0.91337,                0.86605,                0.92525,                0.74436,                0.90824,                0.86022,                0.91782,                0.69474,                0.78781,                 1.3216,                0.58297,                 1.0501,               0.006634,               0.006634,               0.006634
                     71,                0.72688,                 1.2597,                0.55475,                0.99187,                 0.8924,                0.87223,                0.92629,                0.73655,                 0.8909,                0.87073,                0.91874,                0.68729,                0.78826,                 1.2879,                0.58488,                 1.0546,              0.0065845,              0.0065845,              0.0065845
                     72,                0.72464,                 1.2185,                0.55445,                 1.0001,                0.90076,                0.86702,                0.92452,                0.73884,                0.90028,                 0.8602,                0.91556,                0.68844,                  0.798,                 1.2947,                0.58797,                 1.0686,               0.006535,               0.006535,               0.006535
                     73,                0.71957,                 1.2389,                0.55665,                0.99301,                0.83352,                0.83242,                0.88121,                0.69652,                0.82457,                0.82515,                0.86752,                0.64284,                0.83113,                 1.4091,                0.70346,                 1.0909,              0.0064855,              0.0064855,              0.0064855
                     74,                0.73461,                 1.2451,                0.54947,                 1.0039,                0.88979,                0.86447,                0.91565,                0.72622,                   0.88,                0.85365,                0.89956,                0.67225,                0.81586,                 1.3546,                0.61777,                 1.0675,               0.006436,               0.006436,               0.006436
                     75,                0.71395,                 1.1963,                0.54522,                0.98614,                0.88202,                0.87544,                0.92094,                0.73636,                0.88928,                 0.8612,                0.91391,                0.68413,                0.79296,                 1.2723,                 0.5996,                 1.0581,              0.0063865,              0.0063865,              0.0063865
                     76,                0.71289,                  1.239,                0.53684,                0.99548,                  0.892,                0.89126,                0.93283,                0.75412,                0.88645,                0.88511,                0.92223,                0.70064,                0.77218,                 1.2725,                0.55254,                 1.0439,               0.006337,               0.006337,               0.006337
