                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                  1.028,                 1.6447,                0.72942,                 1.0165,                0.80698,                0.80752,                0.82493,                 0.5169,                0.78399,                0.78679,                0.79759,                0.43252,                 1.1651,                 1.8465,                0.78483,                 1.1166,               0.005116,               0.005116,               0.005116
                     77,                 1.0306,                 1.6782,                0.73326,                 1.0185,                0.78657,                0.78258,                0.78895,                0.49568,                 0.7679,                0.74831,                0.75364,                0.40287,                 1.1647,                 1.9832,                0.85252,                 1.1244,                0.00505,                0.00505,                0.00505
                     78,                 1.0211,                 1.6354,                0.71092,                 1.0113,                0.78908,                0.79503,                 0.7995,                0.49416,                 0.7688,                0.76158,                 0.7598,                0.40158,                 1.1995,                 1.9499,                0.80857,                 1.1248,               0.004984,               0.004984,               0.004984
                     79,                 1.0139,                 1.6443,                0.71374,                 1.0072,                0.81784,                0.82656,                0.83046,                0.52314,                0.79056,                0.79528,                  0.795,                 0.4265,                 1.1465,                 1.8246,                0.76378,                 1.1119,               0.004918,               0.004918,               0.004918
                     80,                 1.0198,                 1.6399,                 0.7042,                 1.0094,                0.80546,                0.81906,                0.82137,                0.51722,                0.78337,                0.79526,                 0.7937,                0.42892,                 1.1523,                 1.8225,                0.77504,                 1.1141,               0.004852,               0.004852,               0.004852
                     81,                 1.0109,                 1.6162,                0.70054,                 1.0069,                0.81264,                0.82975,                0.83173,                0.52523,                0.78574,                0.80369,                0.79736,                0.43488,                 1.1366,                 1.8247,                0.75828,                  1.104,               0.004786,               0.004786,               0.004786
                     82,                 1.0275,                 1.6071,                0.70433,                 1.0218,                0.81706,                0.83031,                  0.835,                0.52714,                 0.7917,                0.80218,                0.80356,                0.43561,                 1.1487,                 1.8084,                0.76011,                 1.1133,                0.00472,                0.00472,                0.00472
                     83,                 1.0105,                 1.6435,                0.69004,                 1.0055,                0.76555,                0.77623,                0.77892,                0.47926,                0.73361,                0.75033,                0.73886,                0.39057,                 1.1965,                 1.9412,                0.84812,                 1.1365,               0.004654,               0.004654,               0.004654
                     84,                 1.0138,                 1.6112,                0.71392,                 1.0098,                 0.8162,                0.81854,                0.82812,                0.51605,                 0.7963,                0.79096,                0.79525,                0.42596,                 1.1674,                 1.8403,                  0.775,                 1.1101,               0.004588,               0.004588,               0.004588
                     85,                 1.0119,                 1.6086,                0.70527,                 1.0051,                0.79657,                0.84135,                0.83169,                0.52281,                0.76996,                0.81604,                0.80143,                0.43651,                 1.1493,                 1.8111,                0.76106,                 1.1047,               0.004522,               0.004522,               0.004522
                     86,                 1.0008,                 1.5989,                0.70635,                 1.0039,                0.79289,                0.81033,                0.80622,                0.50368,                0.77316,                0.77372,                0.76405,                0.40941,                 1.1768,                 1.9423,                0.80367,                  1.123,               0.004456,               0.004456,               0.004456
                     87,                 1.0241,                 1.6528,                0.70312,                  1.009,                0.80904,                0.82463,                0.82762,                 0.5191,                0.78717,                0.80189,                0.79452,                0.43086,                 1.1628,                 1.8326,                0.75373,                 1.1156,                0.00439,                0.00439,                0.00439
                     88,                0.98346,                 1.5722,                0.68136,                0.99517,                0.80286,                0.81636,                0.82272,                0.52039,                0.77519,                0.79575,                0.78932,                0.42913,                  1.159,                 1.8696,                0.77777,                 1.1145,               0.004324,               0.004324,               0.004324
                     89,                 0.9881,                 1.5634,                0.67597,                0.99389,                 0.8179,                0.82777,                0.83889,                0.53078,                 0.7931,                0.79681,                0.80112,                0.43502,                 1.1372,                 1.8127,                 0.7487,                 1.1024,               0.004258,               0.004258,               0.004258
                     90,                0.99348,                 1.6243,                0.68059,                0.99934,                0.81705,                0.82506,                0.83166,                0.52407,                0.78917,                0.79912,                0.80004,                0.43144,                 1.1447,                 1.8326,                0.76589,                 1.1043,               0.004192,               0.004192,               0.004192
                     91,                0.99513,                 1.5976,                0.68078,                0.99728,                0.81794,                0.80766,                0.82628,                0.51929,                0.78276,                0.77642,                0.78372,                0.41526,                 1.1543,                 1.8525,                0.77105,                 1.1082,               0.004126,               0.004126,               0.004126
                     92,                 1.0011,                  1.606,                0.69772,                 1.0016,                0.81721,                0.80533,                  0.819,                0.51582,                0.77955,                0.78037,                 0.7776,                0.41455,                 1.1588,                 1.8647,                0.76539,                 1.1157,                0.00406,                0.00406,                0.00406
                     93,                0.99183,                 1.5686,                 0.6908,                 1.0016,                0.81572,                0.82527,                0.82966,                0.52858,                0.79766,                 0.8053,                0.80701,                0.44083,                 1.1344,                 1.8031,                0.74404,                 1.1088,               0.003994,               0.003994,               0.003994
                     94,                0.98349,                 1.5615,                0.66391,                0.99022,                0.79967,                0.80495,                0.81023,                0.50404,                0.78042,                0.77596,                0.77874,                0.42023,                 1.1746,                 1.8885,                0.78808,                 1.1177,               0.003928,               0.003928,               0.003928
                     95,                 0.9913,                 1.5575,                0.66605,                0.99386,                0.77345,                0.77484,                0.77983,                0.48504,                0.73173,                0.74389,                0.72946,                0.38094,                  1.209,                 2.1673,                0.85187,                  1.145,               0.003862,               0.003862,               0.003862
                     96,                0.97172,                 1.5813,                0.66421,                0.99073,                0.81374,                 0.8278,                0.84139,                 0.5346,                0.78983,                0.79484,                0.80581,                0.43472,                 1.1391,                 1.7859,                0.74207,                 1.1069,               0.003796,               0.003796,               0.003796
                     97,                0.98407,                 1.5743,                0.66183,                0.98986,                0.80596,                 0.8166,                0.82659,                0.52564,                0.78079,                0.78734,                0.79528,                0.42678,                 1.1462,                 1.8599,                0.75221,                 1.1113,                0.00373,                0.00373,                0.00373
                     98,                0.98228,                 1.5833,                0.67224,                0.99642,                0.82048,                 0.8145,                0.82881,                0.52593,                 0.7969,                0.78532,                0.80101,                 0.4341,                 1.1469,                 1.8103,                0.74438,                 1.1167,               0.003664,               0.003664,               0.003664
                     99,                0.97677,                 1.5642,                0.65935,                0.99459,                0.81342,                0.83027,                0.83936,                0.53429,                0.78565,                0.80066,                 0.8048,                0.43607,                 1.1328,                 1.7991,                0.73203,                 1.1046,               0.003598,               0.003598,               0.003598
                    100,                0.97711,                 1.5931,                0.66036,                 0.9947,                0.81786,                0.82966,                0.83564,                0.53097,                0.78893,                0.80332,                0.80383,                0.43707,                 1.1325,                 1.8011,                  0.737,                  1.101,               0.003532,               0.003532,               0.003532
                    101,                0.96662,                 1.5485,                0.65922,                0.98232,                0.80791,                0.79116,                0.80156,                0.49318,                 0.7847,                0.77064,                  0.771,                 0.4053,                 1.2091,                 1.9436,                0.79619,                 1.1354,               0.003466,               0.003466,               0.003466
